"building_id","registration_id","borough","house_number","street_name","postcode","of_dwelling_units","infested_dwelling_unit_count","eradicated_unit_count","re_infested_dwelling_unit","filing_date","filing_period_start_date","filling_period_end_date","latitude","longitude","community_board","city_council_district","census_tract_2010","bin","bbl","nta"
"953365","384976","BROOKLYN","193","SUMPTER STREET","11233","3","0","0","0","2024-04-24T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.680238","-73.917923","3","41","379","3389989","3015190054","Bedford-Stuyvesant (East)"
"14323","140107","MANHATTAN","415","EAST 54 STREET","10022","105","0","0","0","2023-12-21T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.755866","-73.963064","6","4","10601","1040356","1013667501","East Midtown-Turtle Bay"
"884180","380374","BROOKLYN","1380","DAHILL ROAD","11204","14","0","0","0","2023-12-26T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.614165","-73.975075","12","44","446","3389008","3065557501","Mapleton-Midwood (West)"
"348542","315814","BROOKLYN","3101","OCEAN PARKWAY","11235","109","0","0","0","2020-12-28T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.575857","-73.968617","13","48","36001","3245024","3086790007","Brighton Beach"
"918931","429216","QUEENS","46-06","88 STREET","11373","46","0","0","0","2024-01-03T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.741636","-73.877737","4","25","471","4039443","4015807502","Elmhurst"
"4894","109177","MANHATTAN","778","9 AVENUE","10019","15","0","0","0","2023-12-18T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.764591","-73.988127","4","3","133","1078889","1010420061","Hell's Kitchen"
"13085","109812","MANHATTAN","247","EAST 31 STREET","10016","1","0","0","0","2024-06-20T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.743367","-73.978401","6","2","7002","1081622","1009120026","Murray Hill-Kips Bay"
"837316","379505","BROOKLYN","125","OCEANA DRIVE EAST","11235","50","0","0","0","2020-12-31T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.575856","-73.957278","13","48","61002","3387622","3087207509","Brighton Beach"
"685176","924347","QUEENS","81-09","NORTHERN BOULEVARD","11372","2","0","0","0","2023-12-15T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.755489","-73.886107","3","25","327","4026953","4011770041","Jackson Heights"
"893325","386072","BROOKLYN","199","HURON STREET","11222","15","0","0","0","2019-02-28T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.733185","-73.953205","1","33","575","3425466","3025237504","Greenpoint"
"955957","387075","BROOKLYN","396","LEFFERTS AVENUE","11225","4","0","0","0","2024-03-06T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.662500","-73.948363","9","40","804","3398258","3013307501","Prospect Lefferts Gardens-Wingate"
"102152","217151","BRONX","3991","PAULDING AVENUE","10466","3","0","0","0","2023-08-13T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.885527","-73.851665","12","12","404","2064416","2048610001","Williamsbridge-Olinville"
"328130","309786","BROOKLYN","324","LIVINGSTON STREET","11217","6","0","0","0","2023-12-27T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.688099","-73.981816","2","33","37","3000512","3001660033","Downtown Brooklyn-DUMBO-Boerum Hill"
"896486","225638","BRONX","783","GARDEN STREET","10460","3","0","0","0","2023-08-01T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.849501","-73.883564","6","15","393","2113790","2031000011","Belmont"
"396439","354425","BROOKLYN","660","WILLOUGHBY AVENUE","11206","24","0","0","0","2023-12-21T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.694581","-73.942972","3","36","283","3049207","3017690009","Bedford-Stuyvesant (East)"
"10836","129583","MANHATTAN","510","EAST 5 STREET","10009","20","0","0","0","2020-12-25T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.724638","-73.983895","3","2","32","1005013","1004000011","East Village"
"302205","324049","BROOKLYN","519","GRAHAM AVENUE","11222","3","0","0","0","2021-05-09T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.721105","-73.946734","1","33","499","3067798","3027140022","Greenpoint"
"894999","381673","BROOKLYN","187","SOUTH PORTLAND AVENUE","11217","3","0","0","0","2023-07-26T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.684025","-73.973964","2","35","179","3349104","3020040108","Fort Greene"
"23058","100765","MANHATTAN","581","HUDSON STREET","10014","21","0","0","0","2023-12-27T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.736365","-74.005871","2","3","75","1011919","1006340060","West Village"
"24263","116766","MANHATTAN","800","LEXINGTON AVENUE","10065","3","0","0","0","2021-04-05T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.763969","-73.966930","8","4","11402","1042000","1013960057","Upper East Side-Carnegie Hill"
